best m,c is 1.620000,10.940000 with error 14.806536 in direction 0
best m,c is 1.620000,10.950000 with error 14.802728 in direction 0
best m,c is 1.620000,10.960000 with error 14.798925 in direction 0
best m,c is 1.620000,10.970000 with error 14.795128 in direction 0
best m,c is 1.620000,10.980000 with error 14.791338 in direction 0
best m,c is 1.620000,10.990000 with error 14.787552 in direction 0
best m,c is 1.620000,11.000000 with error 14.783773 in direction 0
best m,c is 1.620000,11.010000 with error 14.780000 in direction 0
best m,c is 1.620000,11.020000 with error 14.776232 in direction 0
best m,c is 1.620000,11.030000 with error 14.772470 in direction 0
best m,c is 1.620000,11.040000 with error 14.768714 in direction 0
best m,c is 1.620000,11.050000 with error 14.764964 in direction 0
best m,c is 1.620000,11.060000 with error 14.761219 in direction 0
best m,c is 1.620000,11.070000 with error 14.757480 in direction 0
best m,c is 1.620000,11.080000 with error 14.753748 in direction 0
best m,c is 1.620000,11.090000 with error 14.750021 in direction 0
best m,c is 1.620000,11.100000 with error 14.746300 in direction 0
best m,c is 1.620000,11.110000 with error 14.742584 in direction 0
best m,c is 1.620000,11.120000 with error 14.738875 in direction 0
best m,c is 1.620000,11.130000 with error 14.735171 in direction 0
best m,c is 1.620000,11.140000 with error 14.731474 in direction 0
best m,c is 1.620000,11.150000 with error 14.727782 in direction 0
best m,c is 1.620000,11.160000 with error 14.724096 in direction 0
best m,c is 1.620000,11.170000 with error 14.720416 in direction 0
best m,c is 1.620000,11.180000 with error 14.716741 in direction 0
best m,c is 1.620000,11.190000 with error 14.713073 in direction 0
best m,c is 1.620000,11.200000 with error 14.709410 in direction 0
best m,c is 1.620000,11.210000 with error 14.705754 in direction 0
best m,c is 1.620000,11.220000 with error 14.702103 in direction 0
best m,c is 1.620000,11.230000 with error 14.698458 in direction 0
best m,c is 1.620000,11.240000 with error 14.694819 in direction 0
best m,c is 1.620000,11.250000 with error 14.691186 in direction 0
best m,c is 1.620000,11.260000 with error 14.687559 in direction 0
best m,c is 1.620000,11.270000 with error 14.683938 in direction 0
best m,c is 1.620000,11.280000 with error 14.680323 in direction 0
best m,c is 1.620000,11.290000 with error 14.676713 in direction 0
best m,c is 1.620000,11.300000 with error 14.673110 in direction 0
best m,c is 1.620000,11.310000 with error 14.669513 in direction 0
best m,c is 1.620000,11.320000 with error 14.665921 in direction 0
best m,c is 1.620000,11.330000 with error 14.662335 in direction 0
best m,c is 1.620000,11.340000 with error 14.658756 in direction 0
best m,c is 1.620000,11.350000 with error 14.655182 in direction 0
best m,c is 1.620000,11.360000 with error 14.651614 in direction 0
best m,c is 1.620000,11.370000 with error 14.648052 in direction 0
best m,c is 1.620000,11.380000 with error 14.644497 in direction 0
best m,c is 1.620000,11.390000 with error 14.640947 in direction 0
best m,c is 1.620000,11.400000 with error 14.637403 in direction 0
best m,c is 1.620000,11.410000 with error 14.633865 in direction 0
best m,c is 1.620000,11.420000 with error 14.630333 in direction 0
best m,c is 1.620000,11.430000 with error 14.626807 in direction 0
best m,c is 1.620000,11.440000 with error 14.623287 in direction 0
best m,c is 1.620000,11.450000 with error 14.619773 in direction 0
best m,c is 1.620000,11.460000 with error 14.616265 in direction 0
best m,c is 1.620000,11.470000 with error 14.612763 in direction 0
best m,c is 1.620000,11.480000 with error 14.609267 in direction 0
best m,c is 1.620000,11.490000 with error 14.605777 in direction 0
best m,c is 1.620000,11.500000 with error 14.602293 in direction 0
best m,c is 1.620000,11.510000 with error 14.598815 in direction 0
best m,c is 1.620000,11.520000 with error 14.595343 in direction 0
best m,c is 1.620000,11.530000 with error 14.591877 in direction 0
best m,c is 1.620000,11.540000 with error 14.588418 in direction 0
best m,c is 1.620000,11.550000 with error 14.584964 in direction 0
best m,c is 1.620000,11.560000 with error 14.581516 in direction 0
best m,c is 1.620000,11.570000 with error 14.578074 in direction 0
best m,c is 1.620000,11.580000 with error 14.574639 in direction 0
best m,c is 1.620000,11.590000 with error 14.571209 in direction 0
best m,c is 1.610000,11.600000 with error 14.567608 in direction 7
best m,c is 1.610000,11.610000 with error 14.563842 in direction 0
best m,c is 1.610000,11.620000 with error 14.560081 in direction 0
best m,c is 1.610000,11.630000 with error 14.556327 in direction 0
best m,c is 1.610000,11.640000 with error 14.552578 in direction 0
best m,c is 1.610000,11.650000 with error 14.548835 in direction 0
best m,c is 1.610000,11.660000 with error 14.545098 in direction 0
best m,c is 1.610000,11.670000 with error 14.541367 in direction 0
best m,c is 1.610000,11.680000 with error 14.537642 in direction 0
best m,c is 1.610000,11.690000 with error 14.533923 in direction 0
best m,c is 1.610000,11.700000 with error 14.530209 in direction 0
best m,c is 1.610000,11.710000 with error 14.526502 in direction 0
best m,c is 1.610000,11.720000 with error 14.522801 in direction 0
best m,c is 1.610000,11.730000 with error 14.519105 in direction 0
best m,c is 1.610000,11.740000 with error 14.515416 in direction 0
best m,c is 1.610000,11.750000 with error 14.511732 in direction 0
best m,c is 1.610000,11.760000 with error 14.508054 in direction 0
best m,c is 1.610000,11.770000 with error 14.504383 in direction 0
best m,c is 1.610000,11.780000 with error 14.500717 in direction 0
best m,c is 1.610000,11.790000 with error 14.497057 in direction 0
best m,c is 1.610000,11.800000 with error 14.493404 in direction 0
best m,c is 1.610000,11.810000 with error 14.489756 in direction 0
best m,c is 1.610000,11.820000 with error 14.486114 in direction 0
best m,c is 1.610000,11.830000 with error 14.482478 in direction 0
best m,c is 1.610000,11.840000 with error 14.478849 in direction 0
best m,c is 1.610000,11.850000 with error 14.475225 in direction 0
best m,c is 1.610000,11.860000 with error 14.471607 in direction 0
best m,c is 1.610000,11.870000 with error 14.467995 in direction 0
best m,c is 1.610000,11.880000 with error 14.464390 in direction 0
best m,c is 1.610000,11.890000 with error 14.460790 in direction 0
best m,c is 1.610000,11.900000 with error 14.457196 in direction 0
best m,c is 1.610000,11.910000 with error 14.453609 in direction 0
best m,c is 1.610000,11.920000 with error 14.450027 in direction 0
best m,c is 1.610000,11.930000 with error 14.446451 in direction 0
best m,c is 1.610000,11.940000 with error 14.442882 in direction 0
best m,c is 1.610000,11.950000 with error 14.439318 in direction 0
best m,c is 1.610000,11.960000 with error 14.435761 in direction 0
best m,c is 1.610000,11.970000 with error 14.432209 in direction 0
best m,c is 1.610000,11.980000 with error 14.428664 in direction 0
best m,c is 1.610000,11.990000 with error 14.425124 in direction 0
best m,c is 1.610000,12.000000 with error 14.421591 in direction 0
best m,c is 1.610000,12.010000 with error 14.418064 in direction 0
best m,c is 1.610000,12.020000 with error 14.414543 in direction 0
best m,c is 1.610000,12.030000 with error 14.411028 in direction 0
best m,c is 1.610000,12.040000 with error 14.407519 in direction 0
best m,c is 1.610000,12.050000 with error 14.404016 in direction 0
best m,c is 1.610000,12.060000 with error 14.400519 in direction 0
best m,c is 1.610000,12.070000 with error 14.397029 in direction 0
best m,c is 1.610000,12.080000 with error 14.393544 in direction 0
best m,c is 1.610000,12.090000 with error 14.390065 in direction 0
best m,c is 1.610000,12.100000 with error 14.386593 in direction 0
best m,c is 1.610000,12.110000 with error 14.383127 in direction 0
best m,c is 1.610000,12.120000 with error 14.379667 in direction 0
best m,c is 1.610000,12.130000 with error 14.376213 in direction 0
best m,c is 1.610000,12.140000 with error 14.372765 in direction 0
best m,c is 1.610000,12.150000 with error 14.369323 in direction 0
best m,c is 1.610000,12.160000 with error 14.365887 in direction 0
best m,c is 1.610000,12.170000 with error 14.362458 in direction 0
best m,c is 1.610000,12.180000 with error 14.359035 in direction 0
best m,c is 1.610000,12.190000 with error 14.355618 in direction 0
best m,c is 1.610000,12.200000 with error 14.352206 in direction 0
best m,c is 1.610000,12.210000 with error 14.348802 in direction 0
best m,c is 1.610000,12.220000 with error 14.345403 in direction 0
best m,c is 1.610000,12.230000 with error 14.342010 in direction 0
best m,c is 1.610000,12.240000 with error 14.338624 in direction 0
best m,c is 1.610000,12.250000 with error 14.335244 in direction 0
best m,c is 1.610000,12.260000 with error 14.331870 in direction 0
best m,c is 1.600000,12.270000 with error 14.328353 in direction 7
best m,c is 1.600000,12.280000 with error 14.324636 in direction 0
best m,c is 1.600000,12.290000 with error 14.320926 in direction 0
best m,c is 1.600000,12.300000 with error 14.317222 in direction 0
